Similarity	English text	German sentenced	German sentence (translated)
parallel	In 2008, the American Religious Identification Survey found that the number of American Scientologists had dropped to 25,000.	Die amerikanische Volkszählungsbehörde nimmt sogar nur noch ca. 25.000 aktive Scientologen in den USA an und beruft sich dabei auf eine 2008 erschienene Studie des Trinity College, Hartford.	The American Census Bureau adopts even only about 25,000 active Scientologists in the United States and invoked a 2008 released study from Trinity College, Hartford.
partially	The rate of warming over the last half of that period was almost double that for the period as a whole (0.13±0.03 °C per decade, versus 0.07±0.02 °C per decade).	Der berechnete Erwärmungstrend über die letzten 50 Jahre in Höhe von 0,13 ºC pro Jahrzehnt (0,10 bis 0,16 °C) ist fast zweimal so groß wie derjenige über die letzten 100 Jahre.	The calculated warming trend over the last 50 years in the amount of 0.13 ° C per decade (0.10 to 0.16 ° C) is almost twice as large as the one over the last 100 years.
partially	The console was known by the code name "Revolution" until April 27, 2006, immediately before E3.	Bis zur Bekanntgabe des neuen Namens im April 2006 lautete der Arbeitstitel Nintendo Revolution.	Until the announcement of the new name in April 2006, the working title was Nintendo revolution.
partially	Nintendo president Satoru Iwata later unveiled and demonstrated the Wii Remote at the September Tokyo Game Show.	Nach langer Geheimhaltung zeigte Nintendo-Chef Satoru Iwata den Controller am 16. September 2005 auf der Tokyo Game Show.	After long secrecy Nintendo Chief pointed out Satoru Iwata the controller on 16 September 2005 the Tokyo game show.
partially	Ethics officers are present in every org; they are tasked with ensuring correct application of Scientology technology and deal with violations such as non-compliance with standard procedures or any other behavior adversely affecting an org's performance,...	Ethics-Offiziere sind in jeder Scientology-Organisation vorhanden; ihre Aufgabe ist es, die regelgerechte Anwendung der Scientology-Technologie sicherzustellen und Verfehlungen wie beispielsweise die Abweichung von Standardverfahren oder sonstige leistun...	Ethics officers are present in every church of Scientology; their task is to ensure the valid application of Scientology technology and sanction misconduct such as the deviation from standard procedures or other performance-impairing behaviour.
partially	These measurements indicate that the Sun's output has not increased since 1978, so the warming during the past 30 years cannot be attributed to an increase in solar energy reaching the Earth.	Die seit 1978 direkt vom Orbit aus gemessene Änderung der Sonnenaktivität ist bei weitem zu klein, um als Hauptursache für die seither beobachtete Temperaturentwicklung in Frage zu kommen.	Since 1978 directly from orbit measured change in the Sun's activity is far too small, to come as the main cause for developing since then observed temperature in question.
partially	Although Serb forces had long been blamed for the massacre, it was not until June 2004—following the Srebrenica commission's preliminary report—that Serb officials acknowledged that their security forces planned and carried out the mass killing.	Im Juni 2004 räumten Vertreter der Republika Srpska erstmals offiziell die Verantwortung bosnisch-serbischer Sicherheitskräfte für das Massaker von Srebrenica ein.	In June 2004, representatives of Republika Srpska officially conceded the responsibility of Bosnian Serb security forces for the massacre at Srebrenica.
partially	The protests of the town citizens against the building culminated in 1448, in the "Berlin Indignation" ("Berliner Unwille").	Im Jahr 1448 revoltierten Einwohner von Berlin im „Berliner Unwillen“ gegen den Schlossneubau des Kurfürsten Friedrich II.	In the year 1448 revolted citizens of Berlin in the "Berlin indignation" against the Castle construction of the elector Frederick II.
partially	Reduced stratospheric ozone has had a slight cooling influence on surface temperatures, while increased tropospheric ozone has had a somewhat larger warming effect.	Der Ozonabbau wirkt hierbei auf zweierlei Arten: Die verringerte Ozonkonzentration kühlt die Stratosphäre, da die UV-Strahlung dort nicht mehr absorbiert wird, wärmt hingegen die Troposphäre, wo sie absorbiert wird.	The ozone depletion does this in two ways: reduced ozone concentration cools the stratosphere because the UV radiation is not absorbed, however, warms the troposphere, where it is absorbed.
partially	Zoologischer Garten Berlin, the older of two zoos in the city, was founded in 1844 and presents the most diverse range of species in the world.	Der bereits 1844 an der damaligen Stadtgrenze zu Charlottenburg eröffnete Zoologische Garten ist der älteste Zoo Deutschlands und zugleich der artenreichste der Welt (rund 15.000 Tiere in 1500 Arten).	Opened already in 1844 on the city border to Charlottenburg Palace , the Zoo is the oldest Zoo in Germany and at the same time the most biodiverse of the world (around 15,000 animals from 1500 species).
partially	As of 30 June 2014[update], the Wii has sold 101.15 million consoles worldwide.	Die Konsole wurde über 100 Millionen mal verkauft.	The console has sold over 100 million copies.
partially	Nintendo CEO Satoru Iwata revealed a prototype of the controller at the September 2005 Tokyo Game Show.	Nach langer Geheimhaltung zeigte Nintendo-Chef Satoru Iwata den Controller am 16. September 2005 auf der Tokyo Game Show.	After long secrecy Nintendo Chief pointed out Satoru Iwata the controller on 16 September 2005 the Tokyo game show.
partially	The Secretary-General of the United Nations described the mass murder as the worst crime on European soil since the Second World War.	Das Massaker vom Juli 1995 gilt als das schwerste Kriegsverbrechen in Europa seit dem Ende des Zweiten Weltkriegs.	The massacre in July 1995 is considered to be the worst war crime in Europe since the end of the Second World War.
partially	In 1993 the power grid connections to the surrounding areas were restored.	Erst 1993 wurde die 1951 unterbrochene Leitungsverbindung mit dem Umland wiederhergestellt.	Until 1993, the 1951 interrupted cable connection with the surrounding area has been restored.
partially	The major greenhouse gases are water vapor, which causes about 36–70% of the greenhouse effect; carbon dioxide (CO2), which causes 9–26%; methane (CH4), which causes 4–9%; and ozone (O3), which causes 3–7%.	Das Treibhausgas Wasserdampf (H2O) trägt mit 36 bis 66 %, Kohlenstoffdioxid (CO2) mit 9 bis 26 %, und Methan mit 4 bis 9 % zum natürlichen Treibhauseffekt bei.	The greenhouse gas water vapour (H2O) contributes to the natural greenhouse effect with 36 to 66%, carbon dioxide (CO2) with 9% and 26%, and methane with 4% to 9%.
partially	The ability of the earned income tax credit to deliver larger monetary benefits to the poor workers than an increase in the minimum wage and at a lower cost to society was documented in a 2007 report by the Congressional Budget Office.	Dass die negative Einkommensteuer armen Arbeitern einen größeren monetären Vorteil bei geringeren Kosten für die Gesellschaft bringt, wurde in einem Bericht des Congressional Budget Office dokumentiert.	In a report that the negative income tax brings poor workers a bigger monetary advantage at a lower cost for the society, was the Congressional Budget Office documents.
partially	On 25 April 2013, President Tomislav Nikolic apologized for the massacre: "I kneel and ask for forgiveness for Serbia for the crime committed in Srebrenica.	Im April 2013 entschuldigte sich Serbiens Präsident Tomislav Nikolić für das Massaker.	Serbia's President apologized in April 2013 Tomislav Nikolić for the massacre.
partially	In the winter semester of 1491–92 Copernicus, as "Nicolaus Nicolai de Thuronia", matriculated together with his brother Andrew at the University of Kraków (now Jagiellonian University).	Von 1491 bis 1494 besuchte Kopernikus gemeinsam mit seinem Bruder Andreas die Universität Krakau.	From 1491 to 1494, Copernicus attended the Cracow Universitytogether with his brother of Andreas.
partially	Scientology beliefs revolve around the thetan, the individualized expression of the cosmic source, or life force, named after the Greek letter theta (θ).	Der in Anlehnung an den griechischen Buchstaben Theta (Θ) benannte Thetan ist nach scientologischer Vorstellung das unsterbliche Wesen eines Menschen, also dessen Seele oder Geist.	The thetan (Θ) named in reference to the Greek letter theta scientologischer idea is the immortal essence of a person, so the soul or spirit.
partially	In 1961, East Germany began the building of the Berlin Wall between East and West Berlin, and events escalated to a tank standoff at Checkpoint Charlie.	Der Ost-West-Konflikt gipfelte in der Berlin-Krise und führte zum Bau der Berliner Mauer durch die DDR am 13. August 1961.	The East-West conflict culminated in the Berlin and led to the construction of the Berlin wall by East Germany on 13 August 1961.
partially	Global warming is the observed century-scale rise in the average temperature of Earth's climate system.	Als globale Erwärmung bezeichnet man den seit Mitte des 19. Jahrhunderts beobachteten Anstieg der Durchschnittstemperatur der erdnahen Atmosphäre und der Meere.	Global warming refers to the increase in the average temperature of the Earth atmosphere and the oceans, observed since the mid-19th century.
partially	The largest international gateways are Narita International Airport, Kansai International Airport and Chūbu Centrair International Airport.	Die größten Flughäfen sind Tokio-Haneda, Tokio-Narita, Kansai und der zur EXPO Aichi 2005 neu eröffnete Flughafen Chūbu.	The largest airports are Tokyo Haneda Airport Chūbuof EXPO Aichi 2005 , newly opened, Tokyo Narita, Kansai , and the.
partially	Despite the oceans' dominant role in energy storage, the term "global warming" is also used to refer to increases in average temperature of the air and sea at Earth's surface.	Als globale Erwärmung bezeichnet man den seit Mitte des 19. Jahrhunderts beobachteten Anstieg der Durchschnittstemperatur der erdnahen Atmosphäre und der Meere.	Global warming refers to the increase in the average temperature of the Earth atmosphere and the oceans, observed since the mid-19th century.
partially	Japanese society is linguistically and culturally homogeneous, composed of 98.5% ethnic Japanese, with small populations of foreign workers.	Die japanische Gesellschaft ist ethnisch und linguistisch weitgehend homogen.	The Japanese society is largely ethnically and linguistically homogeneous.
partially	The Wii Mini, Nintendo's first major console redesign since the compact SNES, succeeded the standard Wii model on December 7, 2012 in Canada.	Am 7. Dezember 2012 erschien – zunächst exklusiv in Kanada – eine dritte Revision der Wii-Konsole.	A third revision of the Wii console was released - first exclusively in Canada - on 7 December 2012.
partially	On 12 December 2012, Tolimir was convicted of genocide and sentenced to life imprisonment.	Im Prozess gegen Zdravko Tolimir, einen von sieben Stellvertretern Mladićs, wurde dieser am 12. Dezember 2012 der Anklage des Völkermordes für schuldig befunden und zu lebenslanger Haft verurteilt.	In the trial of Zdravko Tolimir, this was sentenced one of seven deputies of Mladić, on December 12, 2012 the accusation of genocide found guilty and to life imprisonment.
partially	Berlin has established a high-profile reputation as a host city of international sporting events.	Die Sportereignisse, Universitäten, Forschungseinrichtungen und Museen Berlins genießen internationalen Ruf.	The sports events, universities, research institutions and museums of Berlin enjoy international reputation.
partially	The Greater Berlin Act in 1920 incorporated many suburbs and surrounding cities of Berlin.	Mit dem Groß-Berlin-Gesetz wurden 1920 acht Städte sowie 59 Landgemeinden und 27 Gutsbezirke zusammengefasst.	In 1920 eight cities as well as 59 rural communities and 27 estate districts were combined with the Greater Berlin Act .
partially	The All Sports Team has received the award "Team of the Year 2013" in Lower Saxony	Das All Sports Team wurde zur „Mannschaft des Jahres 2013“ in Niedersachsen gewählt, vor den Bundesliga-Handballern aus Burgdorf und dem Frauenfußball-Championleaguesieger VfL Wolfsburg.	The All Sports Team was elected to the "team of the year 2013" in Lower Saxony, Germany, before the Bundesliga handball players from Burgdorf and the woman football Championleaguesieger VfL Wolfsburg.
partially	In education, the policy was mainly developed in the 1980s in programmes supporting exchanges and mobility.	Neben diesen Maßnahmen zur Schaffung eines gemeinsamen europäischen Hochschulraums gibt es bereits seit den 1980er Jahren eine Vielzahl von EU-Programmen, die den europaweiten Austausch im Bildungswesen fördern sollen.	In addition to these measures for the creation of a common European higher education area, there are a number of EU programmes, which promote the Europe-wide exchange in education since the 1980s.
partially	The church was destroyed in the Second World War and left in ruins.	Sie war durch Bombenangriffe im Zweiten Weltkrieg schwer beschädigt worden.	She was severely damaged by bombing in the second world war.
partially	Berlin is known for its numerous cultural institutions, many of which enjoy international reputation.	Die Sportereignisse, Universitäten, Forschungseinrichtungen und Museen Berlins genießen internationalen Ruf.	The sports events, universities, research institutions and museums of Berlin enjoy international reputation.
partially	Today the name Nippon-koku or Nihon-koku (日本国?) is used as a formal modern-day equivalent; countries like Japan whose long form does not contain a descriptive designation are generally given a name appended by the character koku (国?), meaning "co...	Das koku in Nihon-koku, wörtlicher „Staat Japan“ oder „Japanischer Staat“, wird in europäische Sprachen oft nicht übersetzt; dort wird der amtliche Landesname dann nur als „Japan“ ohne Zusatz wiedergegeben.	The koku in Nihon-koku, literal "State of Japan" or "Japanese State", is not often translated into European languages. There, the official name of the country then only as "Japan" without additional is rendered.
partially	There is now legislation or binding collective bargaining regarding minimum wage in more than 90% of all countries.	Nach einer Statistik der ILO gibt es in über 90 % ihrer Mitgliedstaaten Mindestlöhne.	According to statistics of the ILO , there are minimum wages in more than 90% of its Member States.
partially	Japan was a venue of the Intercontinental Cup from 1981 to 2004 and co-hosted the 2002 FIFA World Cup with South Korea.	Japan war Gastgeber der Fußballweltmeisterschaft im Jahre 2002.	Japan hosted the World Cup in 2002.
partially	Modern Berlin is home to universities, orchestras, museums, entertainment venues, and is host to many sporting events.	Die Sportereignisse, Universitäten, Forschungseinrichtungen und Museen Berlins genießen internationalen Ruf.	The sports events, universities, research institutions and museums of Berlin enjoy international reputation.
partially	An individual's desire to survive is considered to be the first dynamic, while the second dynamic relates to procreation and family.	Die erste Dynamik ist der Überlebenswille der Einzelperson.	The first dynamic is the survival of the individual.
partially	Wouter J. Hanegraaff is Professor of “History of Hermetic Philosophy and Related Currents” at the University of Amsterdam (1999).	Seit 1999 gibt es in Amsterdam einen Lehrstuhl für die „Geschichte der hermetischen Philosophie und verwandter Strömungen“ (Wouter J. Hanegraaff).	Since 1999, there is a Chair of the "history of hermetic philosophy and related currents" (Wouter j. Hanegraaff) in Amsterdam .
partially	In 1636 George, Duke of Brunswick-Lüneburg, ruler of the Brunswick-Lüneburg principality of Calenberg, moved his residence to Hanover.	Während des Dreißigjährigen Krieges machte Herzog Georg von Calenberg 1636 die festungsartig ausgebaute Stadt zu seiner Residenz.	During the thirty years war Duke made to George of Calenberg 1636 the fortress-like expanded city of residence.
partially	Over the 21st century, the IPCC projects that global mean sea level could rise by 0.18–0.59 m.	Die Erwärmung führt unter anderem zu einem Meeresspiegelanstieg.	The warming leads to sea level rise.
partially	The period of overall real economic growth from the 1960s to the 1980s has been called the Japanese post-war economic miracle: it averaged 7.5 percent in the 1960s and 1970s, and 3.2 percent in the 1980s and early 1990s.	Über drei Jahrzehnte hinweg hatte Japan nur Wirtschaftswachstum zu verzeichnen: ein Durchschnitt von 10 % in den 1960ern, durchschnittlich 5 % in den 1970ern, und 4 % Wirtschaftswachstum in den 1980ern.	Over three decades Japan had enjoyed only economic growth: a 10% average in the 1960s, an average of 5% in the 1970s, and 4% economic growth in the 1980s.
partially	The old Malay word for Japan, Jepang, was borrowed from a southern coastal Chinese dialect, probably Fukienese or Ningpo, and this Malay word was encountered by Portuguese traders in Malacca in the 16th century.	Das frühere malaiische Wort für Japan, „Jepang“ (heute „Jepun“), wurde ebenfalls einer chinesischen Sprache entlehnt.	The former Malay Word for Japan, "Jepang" (today "Jepun"), was also borrowed from a Chinese language.
partially	Japan signed a security pact with Australia in March 2007 and with India in October 2008.	2007 unterzeichnete Japan mit Australien als zweitem Land überhaupt ein Sicherheitsabkommen.	in 2007, Japan with Australia as the second country ever signed a security agreement.
partially	The most popular ones are the Great Ground and the Nouveau Jardin.	Neben zahlreichen Sondergärten sind das Große Parterre, das Orangenparterre, der Irrgarten und der Nouveau Jardin die bekanntesten Teile des Großen Gartens.	In addition to many special gardens, the great parterre, the Orange parterre, the maze and the Nouveau Jardin are the most popular parts of the large garden.
partially	Overall, it is expected that climate change will result in the extinction of many species and reduced diversity of ecosystems.	Eine Erwärmung oberhalb von 2 °C birgt erhöhte Risiken für das Aussterben zahlreicher Tier- und Pflanzenarten, deren Lebensräume nicht länger ihren Anforderungen entsprechen.	A warming above 2 ° C increased risks for the extinction of numerous animal and plant species, their living spaces no longer meet their needs.
partially	The use of the word libertarian to describe a new set of political positions has been traced to the French cognate, libertaire, coined in a scathing letter French libertarian communist Joseph Déjacque wrote to mutualist Pierre-Joseph Proudhon in 1857, c...	Die erste politische Verwendung des Ausdrucks „libertär“ stammt von dem Anarchisten Joseph Déjacque, der den französischen Ausdruck libertaire 1857 in einem Brief an Pierre-Joseph Proudhon zur Abgrenzung des kommunistischen Anarchismus vom seiner ...	The first political use of the expression "libertarian" comes from the anarchist Joseph Déjacque, which 1857 in a letter to Pierre-Joseph Proudhon libertaire , the French term related to the delimitation of Communist anarchism of the Liberal his opinion...
partially	The first German Rugby team was founded in Hanover in 1878.	1878, kurz Hannover 78, wurde 1878 als erster deutscher Rasensportverein gegründet; Rugby war Gründungssportart.	in 1878, short Hanover 78, was founded in 1878 as the first German lawn Sports Club; Founding sport was Rugby .
partially	The eurozone (constituted by the EU member states which have adopted the euro) has since grown to 18 countries, the most recent being Latvia which joined on 1 January 2014.	Damit gehören der Eurozone seit 2014 18 Mitgliedstaaten an.	Thus 18 Member States belong to since 2014 the eurozone.
partially	Although Nintendo showed the console and the Wii Remote in white, black, silver, lime-green and red before it was released, it was only available in white for its first two-and-a-half years of sales.	Gezeigt wurden die Konsole und Wiimote in Limettengrün, Silber, Schwarz und Rot.	Shown were the console and Wiimote in lime green, silver, black and red.
partially	Competencies in scrutinising and amending legislation are divided between the European Parliament and the Council of the European Union while executive tasks are carried out by the European Commission and in a limited capacity by the European Council (no...	Am Zustandekommen von Rechtsakten der EU nach dem ordentlichen Gesetzgebungsverfahren sind die Europäische Kommission (alleiniges Initiativrecht), der Rat der Europäischen Union und das Europäische Parlament beteiligt.	At the conclusion of legal acts of the EU according to the ordinary legislative procedure , the European Commission (sole right of initiative), the Council of the European Union and the European Parliament are involved.
partially	The Wii Mini, Nintendo's first major console redesign since the compact SNES, succeeded the standard Wii model on December 7, 2012 in Canada.	Die Wii mini erschien am 7. Dezember 2012 in Kanada.,	The Wii was released mini on 7 December 2012 in Canada.,
partially	Serbian President Tomislav Nikolić officially apologized for the massacre, although he stopped short of calling it genocide.	Im April 2013 entschuldigte sich Serbiens Präsident Tomislav Nikolić für das Massaker.	Serbia's President apologized in April 2013 Tomislav Nikolić for the massacre.
partially	The flag was originally designed in 1955 for the Council of Europe.	Die Flagge wurde vom Europarat seit 1955, von der EG seit 1985 als offizielles Emblem gebraucht.	The flag was used by the Council of Europe since 1955, by the EC since 1985 as an official emblem.
partially	Over 160,000 students were enrolled in the winter term of 2012/13.	In der Stadt studieren im Wintersemester 2012/13 an insgesamt 31 Universitäten und Hochschulen, darunter vier Kunsthochschulen, rund 160.000 Studenten.	In the town of about 160,000 students in the winter semester 2012/13 at a total of 31 universities and colleges, including four art schools.
partially	The Wii's successor, the Wii U, was released on November 18, 2012.	Die angekündigte Konsole erschien zum Jahresende 2012.	The announced console was released at the end of the year 2012.
partially	A major phase in the development of Western esotericism begins in the Renaissance, partly as the result of various attempts to revive such earlier movements.	In der Renaissance, in der man sich auf die Antike zurückbesann, erlebte auch die Esoterik einen Aufschwung.	In the Renaissance, in which you thought back to ancient times, also the esoteric experienced an upswing.
partially	The number of boroughs was reduced from 23 to twelve.	Zum 1. Januar 2001 wurde die Zahl der Berlin untergliedernden Bezirke durch deren Neugliederung von 23 auf 12 reduziert.	As of 1 January 2001, whose restructuring reduced the number of districts untergliedernden Berlin from 23 to 12.
partially	Most auditing requires an E-meter, a device that measures minute changes in electrical resistance through the body when a person holds electrodes (metal "cans"), and a small current is passed through them.	Dieses Gerät verfügt über zwei zylindrische Elektroden, die der Auditierte beim Auditing in seinen Händen hält, und über einen Zeiger, der Veränderungen des elektrischen Widerstands zwischen den Elektroden anzeigt.	This unit features two cylindrical electrodes, which keeps the audited when the auditing in his hands, and displays through a pointer, the changes in the electrical resistance between the electrodes.
partially	On September 14, 2006 Nintendo announced release information for Japan, North and South America, Oceania, Asia and Europe including dates, prices, and projected unit-distribution figures.	Am 14. September 2006 gab Nintendo auf Pressekonferenzen in Japan und den USA sowie am 15. September 2006 in London den Termin und Preisempfehlungen für den Verkaufsstart bekannt.	On September 14, 2006, Nintendo announced the dates and price recommendations for the sales start at press conferences in Japan and the United States, as well as at September 15, 2006 in London.
partially	In August 1993, a settlement was reached; the church would receive its tax-exempt status and end its legal assault on the IRS and its personnel.	Demgegenüber haben die Vereinigten Staaten Scientology nach jahrelangen Rechtsstreiten 1993 den Status einer steuerbefreiten Religionsgemeinschaft zuerkannt.	In contrast, the United States awarded 1993 Scientology the status of a tax-exempt religious community after years of legal disputes.
partially	In its fourth assessment (AR4 2007) of the relevant scientific literature, the Intergovernmental Panel on Climate Change (IPCC) reported that scientists were more than 90% certain that most of global warming was being caused by increasing concentrations ...	Mit 90 % Sicherheit wird dies durch Treibhausgase, Rodungen und das Verbrennen von fossilem Treibstoff verursacht.	With 90% certainty, this is caused by greenhouse gases, deforestation and the burning of fossil fuels.
partially	It was proposed by Joseph Fourier in 1824, discovered in 1860 by John Tyndall, was first investigated quantitatively by Svante Arrhenius in 1896, and was developed in the 1930s through 1960s by Guy Stewart Callendar.	Aufbauend auf die Entdeckung des Treibhauseffektes durch Jean Baptiste Joseph Fourier im Jahr 1824, identifizierte John Tyndall 1862 einige der für diesen Effekt verantwortlichen Gase, allen voran Wasserdampf und Kohlenstoffdioxid.	Based on the discovery of the greenhouse effect by Jean Baptiste Joseph Fourier in 1824, John Tyndall identified 1862 some of the gases responsible for this effect, above all water vapor and carbon dioxide.
partially	In most scenarios, emissions continue to rise over the century, while in a few, emissions are reduced.	In weiteren Szenarien wurden die Emissionen schrittweise bis zum Ende unseres Jahrhunderts fortgesetzt und dann ebenfalls abrupt beendet.	In other scenarios, the emissions were gradually continued until the end of the century and then also abruptly ended.
partially	In 1934, philosopher Anastasius Nordenholz published a book that used the term to mean "science of science".	Das Oxford English Dictionary führt den ersten Gebrauch des Begriffs auf den Schriftsteller Anastasius Nordenholz zurück, dessen Buch Scientologie – Wissenschaft von der Beschaffenheit und der Tauglichkeit des Wissens 1934 erschien.	The Oxford English Dictionary is the first use of the term on the writer Anastasius North wood back, whose book of scientologie - science of nature and the capability of knowledge appeared in 1934.
partially	The popular media and the public often confuse global warming with ozone depletion, i.e., the destruction of stratospheric ozone (e.g., the ozone layer) by chlorofluorocarbons.	Die Annahme, das Ozonloch sei eine wesentliche Ursache der globalen Erwärmung, ist ebenso falsch, denn der Ozonabbau wärmt nicht das Klima der Erde, sondern kühlt es.	The assumption that the ozone hole is a major cause of global warming, is also wrong, because the ozone depletion not the Earth's climate is warming, but cools it.
partially	The ensemble on the Museum Island is a UNESCO World Heritage Site and is situated in the northern part of the Spree Island between the Spree and the Kupfergraben.	1999 wurde die Museumsinsel in die UNESCO-Liste des Weltkulturerbes aufgenommen.	in 1999, the Museum Island was recorded in the UNESCOlist of world cultural heritage .
partially	It remained an accounting currency until 1 January 2002, when euro notes and coins were issued and national currencies began to phase out in the eurozone, which by then consisted of 12 member states.	Sie haben seit 2002 eine gemeinsame Währung, den Euro.	To have a common currency, the Euro, since 2002.
partially	The non-EU member states of Iceland, Norway, Liechtenstein and Switzerland participate in the single market but not in the customs union.	Die EWR-Mitgliedstaaten Island, Liechtenstein und Norwegen bilden mit der Zollunion eine Freihandelszone, wenden aber nicht den gemeinsamen Zolltarif gegenüber Drittstaaten an.	The EEAcountries Iceland, Liechtenstein and Norway form a free trade area with the Customs Union, apply but not the common customs tariff with third countries.
partially	On 4 October 2005, the Special Bosnian Serb Government Working Group said that 25,083 people were involved in the massacre, including 19,473 members of various Bosnian Serb armed forces that actively gave orders or directly took part in the massacre.	Anfang Oktober 2005 legte eine Sonderarbeitsgruppe der bosnisch-serbischen Regierung dem UN-Kriegsverbrechertribunal eine Liste von etwa 19.500 Personen vor, die sich an dem Massaker auf die eine oder andere Art direkt beteiligt haben sollen.	In October 2005, a special working group of the Bosnian Serb Government the UN war crimes Tribunal presented a list of about 19,500 people directly should have participated in the massacres on the one way or another.
partially	The Wii U was released on November 18, 2012 in North America, November 30, 2012 in Europe and Australia, and December 8, 2012 in Japan.	Die angekündigte Konsole erschien zum Jahresende 2012.	The announced console was released at the end of the year 2012.
partially	In about a month the patient recovered, and Copernicus returned to Frombork.	Kopernikus kehrte 1521 nach Frauenburg zurück.	In 1521, Copernicus returned to Frombork.
